participant,z_score
1,1.5634763206832962
2,4.429838663977632
3,3.7104547215845987
4,1.410878140140174
5,2.4597384217792793
6,1.8704996623362136
7,-1.0056616158752456
8,-0.564886583877026
9,2.442833773184181
10,8.200093143807548
11,1.7049834510728517
12,0.940876815650054
13,2.2999895874238754
14,5.644635725436833
15,2.986131860463106
16,-0.9637459510875594
17,14.276000374102273
18,1.60773112207199
19,0.840872834967207
20,10.847516142301812
21,2.368484617584654
22,5.118167541629656
23,0.46761685691947
24,15.971613428245512
25,12.900521928721428
26,0.22600366993512666
